X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
164,2017,Dennis Schroder,PG,5579.665,23,185,78,79,206,16,74,0.4729238,17.8987341772152,0.855,17.8987341772152,0.855,1,17,2013,4
165,2014,Derrick Favors,PF,4268.564,22,208,120,73,438,108,75,0.9377236,13.2876712328767,0.669,13.2876712328767,0.669,1,3,2010,4
166,2015,Derrick Favors,PF,4376.175,23,208,120,74,411,123,60,2.397554,16.0405405405405,0.669,16.0405405405405,0.669,1,3,2010,5
167,2016,Derrick Favors,PF,3853.217,24,208,120,62,334,91,74,1.347303,16.3870967741935,0.709,16.3870967741935,0.709,1,3,2010,6
168,2017,Derrick Favors,PF,2784.305,25,208,120,50,213,40,45,0.7772635,9.52,0.615,9.52,0.615,1,3,2010,7
169,2014,Derrick Rose,PG,617.7238,25,190,86,10,23,1,5,2.383804,15.9,0.844,15.9,0.844,1,1,2008,6
170,2015,Derrick Rose,PG,3952.129,26,190,86,51,126,16,36,1.114133,17.7254901960784,0.813,17.7254901960784,0.813,1,1,2008,7
171,2016,Derrick Rose,PG,4301.034,27,190,86,66,179,14,44,-0.2740748,16.3636363636364,0.793,16.3636363636364,0.793,1,1,2008,8
172,2017,Derrick Rose,PG,4253.786,28,190,86,64,180,17,44,0.9500251,18.03125,0.874,18.03125,0.874,1,1,2008,9
173,2014,Devin Harris,PG,2019.222,30,190,87,40,77,2,28,0.106442,7.875,0.8,7.875,0.8,1,5,2004,10
174,2015,Devin Harris,PG,3654.982,31,190,87,76,122,14,78,0.97230780000000006,8.75,0.815,8.75,0.815,1,5,2004,11
175,2016,Devin Harris,PG,2933.504,32,190,87,64,120,13,60,-1.646086,7.609375,0.721,7.609375,0.721,1,5,2004,12
176,2017,Devin Harris,PG,2199.59,33,190,87,65,116,7,43,0.0622165,6.72307692307692,0.829,6.72307692307692,0.829,1,5,2004,13
177,2014,Dirk Nowitzki,PF,5862.369,35,213,111,80,458,45,73,0.1611758,21.6875,0.899,21.6875,0.899,1,9,1998,16
178,2015,Dirk Nowitzki,PF,5084.947,36,213,111,77,413,33,39,-0.8734295,17.3116883116883,0.882,17.3116883116883,0.882,1,9,1998,17
179,2016,Dirk Nowitzki,PF,5167.278,37,213,111,75,437,52,52,-0.0040171,18.2933333333333,0.893,18.2933333333333,0.893,1,9,1998,18
180,2017,Dirk Nowitzki,PF,2926.913,38,213,111,54,330,38,30,-0.3142648,14.2407407407407,0.875,14.2407407407407,0.875,1,9,1998,19
181,2014,Donatas Motiejunas,PF,2013.083,23,213,100,62,165,21,20,0.19138260000000001,5.5,0.604,5.5,0.604,1,20,2011,3
182,2015,Donatas Motiejunas,PF,4135.11,24,213,100,71,284,34,56,0.4201906,12.0422535211268,0.602,12.0422535211268,0.602,1,20,2011,4
183,2016,Donatas Motiejunas,PF,1355.647,25,213,100,37,72,5,17,1.882164,6.21621621621622,0.642,6.21621621621622,0.642,1,20,2011,5
184,2017,Donatas Motiejunas,PF,1027.156,26,213,100,34,75,11,18,0.2211297,4.41176470588235,0.51,4.41176470588235,0.51,1,20,2011,6
